R 	china_future 	connected!
R 	china_future 	instrument:SPD SM411&SM507
R 	china_future 	instrument:SPD SM411&SM509
R 	china_future 	instrument:SPD SM411&SM508
R 	china_future 	instrument:SPD WH507&WH509
R 	china_future 	instrument:SPD RI505&RI507
R 	china_future 	instrument:SPD RI505&RI509
R 	china_future 	instrument:SPD WH505&WH507
R 	china_future 	instrument:SPD WH505&WH509
R 	china_future 	instrument:SPD ME504&ME505
R 	china_future 	instrument:SP m1503&m1505
R 	china_future 	instrument:SPD TA504&TA508
R 	china_future 	instrument:SPD TA504&TA505
R 	china_future 	instrument:SPD TA504&TA506
R 	china_future 	instrument:SPD TA504&TA507
R 	china_future 	instrument:SPD TA504&TA509
R 	china_future 	instrument:SPD SM412&SM508
R 	china_future 	instrument:SPD SM412&SM501
R 	china_future 	instrument:SPD SM412&SM502
R 	china_future 	instrument:SPD SM412&SM503
R 	china_future 	instrument:SPD SM412&SM504
R 	china_future 	instrument:SPD SM412&SM505
R 	china_future 	instrument:SPD SM412&SM506
R 	china_future 	instrument:SPD SM412&SM507
R 	china_future 	instrument:SPD SM412&SM509
R 	china_future 	instrument:SPD RM507&RM508
R 	china_future 	instrument:SPD RM507&RM509
R 	china_future 	instrument:SP jd1410&jd1411
R 	china_future 	instrument:SPD SM507&SM508
R 	china_future 	instrument:SPD SM507&SM509
R 	china_future 	instrument:SPD RI501&RI503
R 	china_future 	instrument:SPD RI501&RI505
R 	china_future 	instrument:SPD RI501&RI507
R 	china_future 	instrument:SPD RI501&RI509
R 	china_future 	instrument:SPC a1509&m1501
R 	china_future 	instrument:SPC a1509&m1509
R 	china_future 	instrument:SPC a1509&m1505
R 	china_future 	instrument:SP a1509&a1601
R 	china_future 	instrument:SPD FG505&FG508
R 	china_future 	instrument:SPD FG505&FG506
R 	china_future 	instrument:SPD FG505&FG507
R 	china_future 	instrument:SPD FG505&FG509
R 	china_future 	instrument:SP j1412&j1505
R 	china_future 	instrument:SPC i1505&j1501
R 	china_future 	instrument:SPC i1505&jm1501
R 	china_future 	instrument:SP i1505&i1505
R 	china_future 	instrument:SP i1505&i1509
R 	china_future 	instrument:SPD RS507&RS508
R 	china_future 	instrument:SPD RS507&RS509
R 	china_future 	instrument:SPD SM505&SM508
R 	china_future 	instrument:SPD SM505&SM506
R 	china_future 	instrument:SPD SM505&SM507
R 	china_future 	instrument:SPD SM505&SM509
R 	china_future 	instrument:SPD TA506&TA508
R 	china_future 	instrument:SPD TA506&TA507
R 	china_future 	instrument:SPD TA506&TA509
R 	china_future 	instrument:SPD TC502&TC509
R 	china_future 	instrument:SPD TC502&TC507
R 	china_future 	instrument:SPD TC502&TC506
R 	china_future 	instrument:SPD TC502&TC505
R 	china_future 	instrument:SPD TC502&TC503
R 	china_future 	instrument:SPD TC502&TC504
R 	china_future 	instrument:SPD TC502&TC508
R 	china_future 	instrument:SP c1505&c1509
R 	china_future 	instrument:SPD FG508&FG509
R 	china_future 	instrument:SPD WH411&WH507
R 	china_future 	instrument:SPD WH411&WH501
R 	china_future 	instrument:SPD WH411&WH503
R 	china_future 	instrument:SPD WH411&WH505
R 	china_future 	instrument:SPD WH411&WH509
R 	china_future 	instrument:SP m1505&m1507
R 	china_future 	instrument:SP m1505&m1505
R 	china_future 	instrument:SP m1505&m1509
R 	china_future 	instrument:SP bb1501&bb1509
R 	china_future 	instrument:SP bb1501&bb1501
R 	china_future 	instrument:SP bb1501&bb1505
R 	china_future 	instrument:SPD ME411&ME412
R 	china_future 	instrument:SPD ME411&ME501
R 	china_future 	instrument:SPD ME411&ME505
R 	china_future 	instrument:SPD ME411&ME502
R 	china_future 	instrument:SPD ME411&ME503
R 	china_future 	instrument:SPD ME411&ME504
R 	china_future 	instrument:SPD ME501&ME505
R 	china_future 	instrument:SPD ME501&ME504
R 	china_future 	instrument:SPD ME501&ME502
R 	china_future 	instrument:SPD ME501&ME503
R 	china_future 	instrument:SPD SF507&SF508
R 	china_future 	instrument:SPD SF507&SF509
R 	china_future 	instrument:SPC i1504&j1501
R 	china_future 	instrument:SPC l1501&pp1509
R 	china_future 	instrument:SPC l1501&v1501
R 	china_future 	instrument:SPC l1501&pp1501
R 	china_future 	instrument:SP l1501&l1501
R 	china_future 	instrument:SP l1501&l1505
R 	china_future 	instrument:SPC l1501&pp1505
R 	china_future 	instrument:SP l1501&l1509
R 	china_future 	instrument:SPD TA505&TA508
R 	china_future 	instrument:SPD TA505&TA506
R 	china_future 	instrument:SPD TA505&TA507
R 	china_future 	instrument:SPD TA505&TA509
R 	china_future 	instrument:SPD LR507&LR509
R 	china_future 	instrument:SPD PM507&PM509
R 	china_future 	instrument:SPD TC503&TC509
R 	china_future 	instrument:SPD TC503&TC507
R 	china_future 	instrument:SPD TC503&TC506
R 	china_future 	instrument:SPD TC503&TC505
R 	china_future 	instrument:SPD TC503&TC504
R 	china_future 	instrument:SPD TC503&TC508
R 	china_future 	instrument:SPD TC411&TC506
R 	china_future 	instrument:SPD TC411&TC503
R 	china_future 	instrument:SPD TC411&TC502
R 	china_future 	instrument:SPD TC411&TC412
R 	china_future 	instrument:SPD TC411&TC501
R 	china_future 	instrument:SPD TC411&TC504
R 	china_future 	instrument:SPD TC411&TC505
R 	china_future 	instrument:SPD TC411&TC508
R 	china_future 	instrument:SPD TC411&TC509
R 	china_future 	instrument:SPD TC411&TC507
R 	china_future 	instrument:SPD SM506&SM508
R 	china_future 	instrument:SPD SM506&SM507
R 	china_future 	instrument:SPD SM506&SM509
R 	china_future 	instrument:SPD TA507&TA508
R 	china_future 	instrument:SPD TA507&TA509
R 	china_future 	instrument:SPD TC501&TC509
R 	china_future 	instrument:SPD TC501&TC504
R 	china_future 	instrument:SPD TC501&TC508
R 	china_future 	instrument:SPD TC501&TC507
R 	china_future 	instrument:SPD TC501&TC506
R 	china_future 	instrument:SPD TC501&TC505
R 	china_future 	instrument:SPD TC501&TC503
R 	china_future 	instrument:SPD TC501&TC502
R 	china_future 	instrument:SPD TA412&TA506
R 	china_future 	instrument:SPD TA412&TA507
R 	china_future 	instrument:SPD TA412&TA508
R 	china_future 	instrument:SPD TA412&TA504
R 	china_future 	instrument:SPD TA412&TA501
R 	china_future 	instrument:SPD TA412&TA502
R 	china_future 	instrument:SPD TA412&TA503
R 	china_future 	instrument:SPD TA412&TA505
R 	china_future 	instrument:SPD TA412&TA509
R 	china_future 	instrument:SPD SF505&SF508
R 	china_future 	instrument:SPD SF505&SF506
R 	china_future 	instrument:SPD SF505&SF507
R 	china_future 	instrument:SPD SF505&SF509
R 	china_future 	instrument:SPC y1509&p1501
R 	china_future 	instrument:SPC y1509&p1509
R 	china_future 	instrument:SP b1501&b1505
R 	china_future 	instrument:SP b1501&b1509
R 	china_future 	instrument:SPD TC504&TC509
R 	china_future 	instrument:SPD TC504&TC507
R 	china_future 	instrument:SPD TC504&TC506
R 	china_future 	instrument:SPD TC504&TC505
R 	china_future 	instrument:SPD TC504&TC508
R 	china_future 	instrument:SP y1505&y1509
R 	china_future 	instrument:SP y1505&y1505
R 	china_future 	instrument:SPC y1505&p1501
R 	china_future 	instrument:SPC y1505&p1505
R 	china_future 	instrument:SP bb1505&bb1509
R 	china_future 	instrument:SP b1505&b1509
R 	china_future 	instrument:SPD SF506&SF508
R 	china_future 	instrument:SPD SF506&SF507
R 	china_future 	instrument:SPD SF506&SF509
R 	china_future 	instrument:SPD SR511&SR601
R 	china_future 	instrument:SPD SR511&SR603
R 	china_future 	instrument:SPD RM501&RM507
R 	china_future 	instrument:SPD RM501&RM508
R 	china_future 	instrument:SPD RM501&RM503
R 	china_future 	instrument:SPD RM501&RM505
R 	china_future 	instrument:SPD RM501&RM509
R 	china_future 	instrument:SPD ME502&ME504
R 	china_future 	instrument:SPD ME502&ME503
R 	china_future 	instrument:SPD ME502&ME505
R 	china_future 	instrument:SPD RS411&RS508
R 	china_future 	instrument:SPD RS411&RS507
R 	china_future 	instrument:SPD RS411&RS509
R 	china_future 	instrument:SPD FG501&FG508
R 	china_future 	instrument:SPD FG501&FG504
R 	china_future 	instrument:SPD FG501&FG502
R 	china_future 	instrument:SPD FG501&FG503
R 	china_future 	instrument:SPD FG501&FG505
R 	china_future 	instrument:SPD FG501&FG506
R 	china_future 	instrument:SPD FG501&FG507
R 	china_future 	instrument:SPD FG501&FG509
R 	china_future 	instrument:SPD TA503&TA507
R 	china_future 	instrument:SPD TA503&TA508
R 	china_future 	instrument:SPD TA503&TA504
R 	china_future 	instrument:SPD TA503&TA505
R 	china_future 	instrument:SPD TA503&TA506
R 	china_future 	instrument:SPD TA503&TA509
R 	china_future 	instrument:SP fb1411&fb1501
R 	china_future 	instrument:SP p1505&p1505
R 	china_future 	instrument:SP p1505&p1509
R 	china_future 	instrument:SPD RM505&RM508
R 	china_future 	instrument:SPD RM505&RM507
R 	china_future 	instrument:SPD RM505&RM509
R 	china_future 	instrument:SPD OI507&OI509
R 	china_future 	instrument:SPD PM411&PM503
R 	china_future 	instrument:SPD PM411&PM505
R 	china_future 	instrument:SPD PM411&PM501
R 	china_future 	instrument:SPD PM411&PM507
R 	china_future 	instrument:SPD PM411&PM509
R 	china_future 	instrument:SPD FG503&FG508
R 	china_future 	instrument:SPD FG503&FG504
R 	china_future 	instrument:SPD FG503&FG505
